dataname	id	macF1	micF1	k1	kacc	knmi	sim	lambd0	lambd1	lambd2	w_loss1	w_loss2
dblp	2762	0.5209+	0.4941+	0.19125891223150324,std:0.153584312	 macro_f1s:0.5209288667141478,std:0.02522281219607146, micro_f1s:0.4940736855906647,std:0.02848609644432706,k1:0.19125891223150324,std:0.1535843122698718	 macro_f1s:0.520928	 macro_f1s:0.5209288667141478	0.0001	0.0001	0.0001	0.1	1.0
dblp	2763	0.4873+	0.4641+	0.30804712759600966,std:0.126304678	 macro_f1s:0.4873389367485415,std:0.012498274534260523, micro_f1s:0.46408810803723616,std:0.011217678288554028,k1:0.30804712759600966,std:0.1263046784152485	 macro_f1s:0.487338	 macro_f1s:0.4873389367485415	0.0001	0.0001	0.0001	0.1	1.0
dblp	2764	0.4220+	0.4463+	0.21406249680081593,std:0.14707719	 macro_f1s:0.4219873104781504,std:0.009838596516645287, micro_f1s:0.4463353874393602,std:0.006302111491227569,k1:0.21406249680081593,std:0.147077199260822	 macro_f1s:0.421987	 macro_f1s:0.4219873104781504	0.0001	0.0001	0.0001	0.1	1.0
dblp	2765	0.3888+	0.4165+	0.24609872231898355,std:0.156996605	 macro_f1s:0.38877074115334775,std:0.011804951452729516, micro_f1s:0.41654647961190505,std:0.00476177259665265,k1:0.24609872231898355,std:0.1569966057936932	 macro_f1s:0.388770	 macro_f1s:0.3887707411533477	0.0001	0.0001	0.0001	0.1	1.0
dblp	2766	0.7102+	0.6996+	0.5674921830128802,std:0.115504615	 macro_f1s:0.710213378892856,std:0.010164823090726397, micro_f1s:0.699606660548053,std:0.009891259855203905,k1:0.5674921830128802,std:0.1155046153119675	 macro_f1s:0.710213	 macro_f1s:0.710213378892856,	0.0001	0.0001	0.0001	0.1	1.0
dblp	2767	0.7800+	0.7671+	0.5964084818521931,std:0.105755587	 macro_f1s:0.7800026935623291,std:0.003729012281646967, micro_f1s:0.7670643765569686,std:0.006769096556223635,k1:0.5964084818521931,std:0.1057555876761549	 macro_f1s:0.780002	 macro_f1s:0.7800026935623291	0.0001	0.0001	0.0001	0.1	1.0
dblp	2768	0.6586+	0.6345+	0.5416536103694394,std:0.113244250	 macro_f1s:0.658593082255586,std:0.0003810560766146511, micro_f1s:0.6345220925658844,std:0.0010294678637710213,k1:0.5416536103694394,std:0.1132442506416316	 macro_f1s:0.658593	 macro_f1s:0.658593082255586,	0.0001	0.0001	0.0001	0.1	1.0
dblp	2769	0.7534+	0.7419+	0.5869304091201432,std:0.102766767	 macro_f1s:0.7533717997460684,std:0.010823677693145644, micro_f1s:0.741851317687164,std:0.017898212926071563,k1:0.5869304091201432,std:0.1027667676044757	 macro_f1s:0.753371	 macro_f1s:0.7533717997460684	0.0001	0.0001	0.0001	0.1	1.0
dblp	2770	0.4749+	0.4867+	0.21165038817026638,std:0.14755396	 macro_f1s:0.47494157373595014,std:0.018185760037049543, micro_f1s:0.486744460469385,std:0.015119250872552637,k1:0.21165038817026638,std:0.147553961831916	 macro_f1s:0.474941	 macro_f1s:0.4749415737359501	0.0001	0.0001	0.0001	0.1	1.0
dblp	2771	0.3819+	0.4248+	0.23997409455784716,std:0.13025201	 macro_f1s:0.3818945034750495,std:0.013549002284860898, micro_f1s:0.4248066081027927,std:0.006964811520426231,k1:0.23997409455784716,std:0.130252013528640	 macro_f1s:0.381894	 macro_f1s:0.3818945034750495	0.0001	0.0001	0.0001	0.1	1.0
dblp	2772	0.6350+	0.6195+	0.5748210602189087,std:0.118237493	 macro_f1s:0.6350438900008005,std:0.010657758261580785, micro_f1s:0.6194571915563131,std:0.015398199924797322,k1:0.5748210602189087,std:0.1182374937317034	 macro_f1s:0.635043	 macro_f1s:0.6350438900008005	0.0001	0.0001	0.0001	0.1	1.0
dblp	2773	0.4181+	0.4112+	0.1523944903951013,std:0.1515981	 macro_f1s:0.41813951971072594,std:0.013386417922283813, micro_f1s:0.4112232856955552,std:0.011339612493784517,k1:0.1523944903951013,std:0.15159816921504	 macro_f1s:0.418139	 macro_f1s:0.4181395197107259	0.0001	0.0001	0.0001	0.1	1.0
dblp	2774	0.5313+	0.5255+	0.3235048769994015,std:0.12845377	 macro_f1s:0.5313267422666682,std:0.01071358938000351, micro_f1s:0.5254752851711026,std:0.015918216461630105,k1:0.3235048769994015,std:0.128453779088175	 macro_f1s:0.531326	 macro_f1s:0.5313267422666682	0.0001	0.0001	0.0001	0.1	1.0
dblp	2775	0.5796+	0.6032+	0.5382807716144481,std:0.126511799	 macro_f1s:0.5795614584935047,std:0.012680229416840414, micro_f1s:0.6031991608758358,std:0.021952915020971717,k1:0.5382807716144481,std:0.1265117990469230	 macro_f1s:0.579561	 macro_f1s:0.5795614584935047	0.0001	0.0001	0.0001	0.1	1.0
dblp	2776	0.7640+	0.7401+	0.611894931358916,std:0.111390069	 macro_f1s:0.7640432241825249,std:0.0022199936543643296, micro_f1s:0.740146846728727,std:0.0034101771823728195,k1:0.611894931358916,std:0.1113900691204034	 macro_f1s:0.764043	 macro_f1s:0.7640432241825249	0.0001	0.0001	0.0001	0.1	1.0
dblp	2777	0.7964+	0.7799+	0.6324508353874237,std:0.109715124	 macro_f1s:0.7964078792780567,std:0.0024944754808854715, micro_f1s:0.7799003540055067,std:0.0031912251358331215,k1:0.6324508353874237,std:0.1097151244668716	 macro_f1s:0.796407	 macro_f1s:0.7964078792780567	0.0001	0.0001	0.0001	0.1	1.0
dblp	2778	0.6694+	0.6384+	0.597682906160105,std:0.116777872	 macro_f1s:0.6693911427747157,std:0.010381981249997304, micro_f1s:0.6384161531401601,std:0.016936226263706826,k1:0.597682906160105,std:0.1167778721909677	 macro_f1s:0.669391	 macro_f1s:0.6693911427747157	0.0001	0.0001	0.0001	0.1	1.0
dblp	2779	0.2639+	0.2974+	0.13381263111958183,std:0.152997517	 macro_f1s:0.26387212389982145,std:0.02082476683988546, micro_f1s:0.29736462567195493,std:0.023095126512637856,k1:0.13381263111958183,std:0.1529975170911753	 macro_f1s:0.263872	 macro_f1s:0.2638721238998214	0.0001	0.0001	0.0001	0.1	10.0
